threshold,coverage,accuracy_on_accepted,macro_f1_on_accepted
0.05,1.0,0.8455,0.8246
0.1,0.9997,0.8457,0.8251
0.15,0.9985,0.8465,0.8268
0.2,0.9957,0.8482,0.8293
0.25,0.9916,0.8507,0.8328
0.3,0.9861,0.8539,0.8374
0.35,0.9779,0.8581,0.8436
0.4,0.9677,0.8627,0.8485
0.45,0.9556,0.8685,0.8543
0.5,0.9383,0.8763,0.8614
0.55,0.9168,0.886,0.8704
0.6,0.8955,0.8948,0.878
0.65,0.8736,0.9037,0.8845
0.7,0.8494,0.9125,0.8928
0.75,0.8234,0.9204,0.9002
0.8,0.793,0.9297,0.9088
0.85,0.7548,0.9409,0.9198
0.9,0.7051,0.9523,0.93
0.95,0.6162,0.969,0.9383
