AMDB	CC BY 4.0
ANPDB	CC BY-NC 4.0
AfroDb	CC BY 4.0
CMAUPv2	CC BY 4.0
CMDB_Cereals	Unspecified
COCONUT	CC BY 4.0
CSIRO	CC BY-NC 4.0
CyanoMetDB	CC BY 4.0
EMNPD	CC BY 4.0
FooDB	CC BY-NC 4.0
HERB	CC BY-NC 4.0
IMPPAT	CC BY-NC 4.0
LMDB_Lichen	Unspecified
LOTUS	CC BY 4.0
MIBiG	CC BY 4.0
MeFSAT	CC BY 4.0
MicotoXilico	Unspecified
MycoCentral	CC BY 4.0
NPASS	CC BY-NC 4.0
NPAtlas	CC BY 4.0
NaturAr	CC BY 4.0
Phyto4Health	CC BY-NC 4.0
SANCDB	CC BY 4.0
SMDB_Spice	Unspecified
StreptomeDB	CC BY 4.0
TIPdb	CC BY-NC 4.0
TM-MC	CC0
TMDB_Trichoderma	Unspecified
phytochemdb	CC BY-NC 4.0
