comp_id,name,mw,smiles,total_atoms
THEO_0288738,Selenide,79.92,[Se-2],1
THEO_0185340,7440-34-8,227.03,[Ac],1
THEO_0634511,Tellurium,129.91,[Te],1
THEO_0006511,Chromium(III),51.94,[Cr+3],1
THEO_0782819,Magnesium ion,23.98,[Mg+2],1
THEO_0515807,Nitrogen,28.01,N#N,2
THEO_0408182,Mercuric cation,201.97,[Hg+2],1
THEO_0178486,,225.03,[223RaH2],3
THEO_0675366,rubidium cation rb-82,81.92,[82Rb+],1
THEO_0547585,disulfur,63.94,S=S,2
THEO_0404503,7440-28-0,204.97,[Tl],1
THEO_0287249,7783-07-5,81.93,[SeH2],3
THEO_0071859,Terbium,158.93,[Tb],1
THEO_0073954,Sodium,22.99,[Na],1
THEO_0080695,7439-91-0,138.91,[La],1
THEO_0030182,TITANIUM DIOXIDE,79.94,O=[Ti]=O,3
THEO_0019914,Sodium ion,22.99,[Na+],1
THEO_0463926,7440-42-8,11.01,[B],1
THEO_0484959,Hydrogen Cyanide,27.01,C#N,3
THEO_0449582,Phosphorus,30.97,[P],1
THEO_0249135,Barium,137.91,[Ba],1
THEO_0071418,Carbon Disulfide,75.94,S=C=S,3
THEO_0612396,,145.88,S=[Cd],2
THEO_0315955,Potassium,38.96,[K],1
THEO_0109929,Lutetium-177,176.94,[177Lu],1
THEO_0061608,SULFIDE,31.97,[S-2],1
THEO_0020125,7440-37-1,39.96,[Ar],1
THEO_0358182,Hydrogen cation,1.01,[H+],1
THEO_0611173,aluminum cation,26.98,[Al+3],1
THEO_0723740,7440-67-7,89.9,[Zr],1
THEO_0170786,Selenium disulfide,143.86,S=[Se]=S,3
THEO_0907109,Realgar,107.9,S[As],3
THEO_0484379,Cadmium,113.9,[Cd],1
THEO_0339044,Aluminum,26.98,[Al],1
THEO_0761734,Calcium Cation,39.96,[Ca+2],1
THEO_0662746,Hydrogen Sulfide,33.99,S,3
THEO_0363139,Nickel,57.94,[Ni],1
THEO_0302245,Iron,55.93,[Fe],1
THEO_0675358,Chromium,51.94,[Cr],1
THEO_0324831,Hydron;chloride,35.98,Cl,2
THEO_0674950,7440-46-2,132.91,[Cs],1
THEO_0053213,Copper,62.93,[Cu],1
THEO_0309675,Sulfur,31.97,[S],1
